,bigf,radiosonde,dist,n,rmse,corr,m,r2,e_mean,e_sd,perc_e_mean,perc_e_sd,Category1_SmallIsland,Category2_SeparatedLandMass,Category3_SmallIsland_LargeOceanMass,Category4_SeparatedLargerIsland,Category5_FewSamples,UK,Europe,Global,rtype,tracksys,radcorr
79,brmu,bermuda naval air station kindley,1.30477128,23,2.288596312,0.981142822,0.963891394,0.992848905,0.540087119,2.27393848,1.670909412,11.3298889,1,0,1,0,1,0,0,1,NA,NA,NA
80,brus,uccle,0.732463432,1616,1.635018617,0.96475814,1.007048978,0.985688142,-0.334874583,1.600853128,-2.257514212,55.57442873,0,0,0,0,0,0,1,1,80,8,4
81,cagl,cagliari/elmas,14.9997594,125,1.798128458,0.96336344,0.986684542,0.990567492,0.163929203,1.797846261,1.783688562,10.6840929,0,0,0,0,0,0,1,1,80,8,4
82,cagz,cagliari/elmas,15.00154514,96,1.847261139,0.965370427,1.028950865,0.990699168,-0.66468817,1.732579707,-3.875058503,10.2987747,0,0,0,0,1,0,1,1,79,8,4
84,ccjm,chichijima,1.401206924,3176,3.36302803,0.95740869,0.979687005,0.987202738,0.165344637,3.359489881,0.522296321,14.33009566,1,0,1,0,0,0,0,1,11,8,5
85,chat,chatham island,0.648631246,1519,1.598889424,0.96911258,0.981746514,0.989802694,0.026673544,1.599193401,-0.529281036,12.48478872,1,0,1,0,0,0,0,1,80,8,4
86,chti,chatham island,24.15400327,553,1.715790312,0.966236697,0.966419643,0.989395616,0.293398118,1.692049411,1.5863918,12.36063221,1,0,1,0,0,0,0,1,80,8,4
87,chum,frunze,22.93094493,164,2.753516368,0.760951406,0.909938224,0.905542209,0.00077275,2.761949714,-0.758694738,43.89051071,0,0,0,0,0,0,0,1,NA,NA,NA
89,coco,cocos island airport,1.939056612,115,5.138058872,0.914415615,0.936548936,0.990875404,2.72131544,4.377294379,7.076748802,13.9285705,1,0,1,0,0,0,0,1,81,8,4
92,dum1,dumont d urville,0.699495517,311,0.970515466,0.88661554,0.94575865,0.94455484,-0.011157698,0.97201531,0.613795568,37.64203879,0,1,0,0,0,0,0,1,57,8,4
93,eisl,isla de pascua,3.34791071,532,8.039900912,0.574630909,0.844100835,0.947934668,3.823888084,7.078988787,16.82276448,37.07687894,1,0,1,0,0,0,0,1,NA,NA,NA
94,fort,fortaleza,22.8873385,,,,,,,,,,0,0,0,0,0,0,0,1,NA,NA,NA
95,glsv,kyiv,6.264973736,3295,2.359889616,0.897839081,1.100058037,0.948301163,-1.427999551,1.879086985,-18.76022424,30.69309923,0,0,0,0,0,0,1,1,27,3,3
96,goug,gough island,0.233478463,115,3.547146121,0.921523545,0.975635386,0.952392296,-0.787787342,3.47369592,-8.567806394,30.35042872,1,0,1,0,0,0,0,1,NA,NA,NA
97,guam,wsmo agana: guam: mariana island,5.789578748,316,7.677519455,0.860336539,1.11120246,0.976675812,-5.396152126,5.469966402,-14.00284601,14.33071247,1,0,1,0,0,0,0,1,NA,NA,NA
100,hob2,hobart airport,4.792041123,1335,2.239340072,0.956181143,0.904724783,0.989747281,1.493238432,1.669422223,11.49465615,13.60594104,0,0,0,1,0,0,0,1,80,3,4
101,hyde,hyderabad airport,9.616831898,556,7.273594704,0.818714027,0.990669752,0.937211944,-0.678705694,7.248381416,4.836147934,42.35837892,0,0,0,0,0,0,0,1,57,8,4
103,invk,inuvik:n.w.t.,1.941146538,72,7.456242937,0.431217931,1.231635192,0.51354056,-2.909398534,6.913376543,-24.80789553,27.48407596,0,0,0,0,1,0,0,1,80,6,4
104,ispa,isla de pascua,7.710573745,851,3.253714831,0.898404035,0.953871709,0.98907479,1.195221072,3.028016022,5.110908108,11.95040819,1,0,1,0,0,0,0,1,79,8,4
105,kerg,port-aux-francais (iles kerguelen),0.433128462,93,2.752807455,0.919523399,0.898912708,0.964104243,1.153887463,2.512844855,16.17173485,31.4776128,1,0,1,0,1,0,0,1,57,8,4
106,khaj,habarovsk,13.85997502,1897,1.227499594,0.936350186,1.169161003,0.951493928,-0.887533215,0.84818588,-24.35389964,24.54371689,0,0,0,0,0,0,0,1,89,3,5
109,kwj1,kwajalein/bucholz aaf: marshall is.,1.229737635,673,6.230492005,0.852579763,1.020047015,0.980270675,-1.94773248,5.922625253,-5.142298812,14.05766712,1,0,1,0,0,0,0,1,NA,NA,NA
113,mac1,macquarie island,2.055321607,1250,1.478794913,0.953575579,0.963800516,0.984345136,0.258493208,1.456610114,2.889786999,17.19792737,1,0,1,0,0,0,0,1,80,8,4
117,mcil,minamitorishima,1.612450344,2077,3.058387112,0.963639038,0.944040538,0.993284265,1.640276331,2.581944022,6.250830647,9.336094292,1,0,1,0,0,0,0,1,55,8,7
120,nico,athalassa,1.049906517,41,2.564380588,0.922976851,0.903012689,0.980010933,1.117211599,2.33689606,7.723349926,18.26581468,0,0,0,0,1,0,1,1,79,8,4
121,nrmd,noumea (nlle-caledonie),5.587561882,77,4.392354666,0.951389821,0.938939052,0.989269201,2.05645852,3.906656525,6.984391785,13.29545065,1,0,1,0,1,0,0,1,57,8,4
122,noum,noumea (nlle-caledonie),4.113809864,119,4.051784279,0.949068911,0.94693375,0.990165475,1.856215547,3.616814479,6.324873029,11.21436615,1,0,1,0,0,0,0,1,NA,NA,NA
124,nya1,ny-alesund ii,2.018457374,280,1.417904297,0.973680637,1.26882247,0.964139389,-1.312721453,0.536883998,-35.75300282,18.5793736,0,0,0,1,0,0,0,1,NA,NA,NA
125,nyal,ny-alesund ii,2.024222333,266,1.622139574,0.968346049,1.310504033,0.955592328,-1.51280393,0.586561597,-39.05042542,19.06857262,0,0,0,1,0,0,0,1,NA,NA,NA
126,osn1,osan ab,2.61157636,3661,1.788499206,0.938612898,1.007680624,0.958589081,-0.450504659,1.731067151,-7.156161536,23.15871507,0,0,0,0,0,0,0,1,21,6,5
128,pert,belmont (perth airport),16.44540698,5499,2.20876973,0.948392564,1.048830243,0.985628663,-1.027996959,1.955142223,-6.864955616,12.39378539,0,0,0,0,0,0,0,1,80,3,4
129,petp,petropavlovsk- kamcatskij,2.424400373,2906,2.623358309,0.816655003,1.185710628,0.867273386,-1.774870929,1.932130076,-32.91696768,45.07291292,0,0,0,0,0,0,0,1,NA,NA,NA
130,pol2,frunze,19.29232958,164,2.642402037,0.755679588,1.216601496,0.93150601,-1.682829365,2.043486303,-18.96735637,28.78664604,0,0,0,0,0,0,0,1,NA,NA,NA
133,scor,scoresbysund,0.639598084,33,2.771468446,0.594820933,0.775452349,0.804090157,0.507524547,2.766846434,14.51864209,74.96419786,0,1,0,1,1,0,0,1,80,6,4
134,sele,almaty,19.05558503,2193,3.132859494,0.81799052,1.24127654,0.931321302,-2.117709721,2.309230558,-21.62262835,29.28184532,0,0,0,0,0,0,0,1,27,3,5
135,stjo,st johns: nfld,4.80641452,1160,1.920779966,0.962639717,1.028227909,0.971631834,-0.687825733,1.794175715,-10.40485085,22.73703426,0,0,0,1,0,0,0,1,NA,NA,NA
136,suwn,osan ab,19.54931702,4444,2.093512642,0.929490483,1.052036597,0.950105478,-0.87911154,1.900202775,-13.05540467,24.75816741,0,0,0,0,0,0,0,1,21,6,5
