X,Y,Name,Description
61.7,69.75,,"<table> <tr><td><b>src_id:</b><td>17394 <tr><td><b>Name:</b><td>AMDERMA <tr><td><b>Area:</b><td>RUSSIAN FEDERATION <tr><td><b>Start date:</b><td>01-01-1983 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17394"">Station details</a></center>"
72.733,11.117,,"<table> <tr><td><b>src_id:</b><td>17471 <tr><td><b>Name:</b><td>AMINI DIVI <tr><td><b>Area:</b><td>INDIA <tr><td><b>Start date:</b><td>01-01-1892 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17471"">Station details</a></center>"
177.533,64.733,,"<table> <tr><td><b>src_id:</b><td>17017 <tr><td><b>Name:</b><td>ANADYR <tr><td><b>Area:</b><td>RUSSIAN FEDERATION <tr><td><b>Start date:</b><td>01-01-1983 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17017"">Station details</a></center>"
103.85,52.483,,"<table> <tr><td><b>src_id:</b><td>17535 <tr><td><b>Name:</b><td>ANGARSK <tr><td><b>Area:</b><td>RUSSIAN FEDERATION <tr><td><b>Start date:</b><td>01-11-1988 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17535"">Station details</a></center>"
-37.633,65.599,,"<table> <tr><td><b>src_id:</b><td>17113 <tr><td><b>Name:</b><td>ANGMAGSSALIK <tr><td><b>Area:</b><td>GREENLAND <tr><td><b>Start date:</b><td>01-01-1983 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17113"">Station details</a></center>"
32.883,39.949,,"<table> <tr><td><b>src_id:</b><td>17167 <tr><td><b>Name:</b><td>ANKARA/CENTRAL <tr><td><b>Area:</b><td>TURKEY <tr><td><b>Start date:</b><td>01-01-1926 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17167"">Station details</a></center>"
-64.267,-65.25,,"<table> <tr><td><b>src_id:</b><td>1615 <tr><td><b>Name:</b><td>ARGENTINE IS: ANTARCTICA <tr><td><b>Area:</b><td>ANTARCTICA <tr><td><b>Start date:</b><td>01-01-1947 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=1615"">Station details</a></center>"
40.5,64.616,,"<table> <tr><td><b>src_id:</b><td>16988 <tr><td><b>Name:</b><td>ARHANGEL SK <tr><td><b>Area:</b><td>RUSSIAN FEDERATION <tr><td><b>Start date:</b><td>01-01-1983 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=16988"">Station details</a></center>"
102.783,46.267,,"<table> <tr><td><b>src_id:</b><td>17482 <tr><td><b>Name:</b><td>ARVAIHEER <tr><td><b>Area:</b><td>MONGOLIA <tr><td><b>Start date:</b><td>01-01-1983 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17482"">Station details</a></center>"
-14.4,-7.967,,"<table> <tr><td><b>src_id:</b><td>1603 <tr><td><b>Name:</b><td>ASCENSION ISLAND AIRFIELD <tr><td><b>Area:</b><td>ASCENSION IS <tr><td><b>Start date:</b><td>01-04-1957 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=1603"">Station details</a></center>"
58.133,37.917,,"<table> <tr><td><b>src_id:</b><td>17088 <tr><td><b>Name:</b><td>ASHGABAT KESHI <tr><td><b>Area:</b><td>TURKMENISTAN <tr><td><b>Start date:</b><td>01-01-1983 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17088"">Station details</a></center>"
47.983,47.283,,"<table> <tr><td><b>src_id:</b><td>17071 <tr><td><b>Name:</b><td>ASTRAHAN <tr><td><b>Area:</b><td>RUSSIAN FEDERATION <tr><td><b>Start date:</b><td>01-01-1983 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17071"">Station details</a></center>"
33.4,35.15,,"<table> <tr><td><b>src_id:</b><td>17385 <tr><td><b>Name:</b><td>ATHALASSA <tr><td><b>Area:</b><td>CYPRUS <tr><td><b>Start date:</b><td>01-01-1990 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17385"">Station details</a></center>"
23.733,37.9,,"<table> <tr><td><b>src_id:</b><td>17325 <tr><td><b>Name:</b><td>ATHENS(HELLINIKON) <tr><td><b>Area:</b><td>GREECE <tr><td><b>Start date:</b><td>01-01-1974 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17325"">Station details</a></center>"
